"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HIF1A",0,1.48087880989215,0.474,0.201,0
"PTPN6",0,1.23425741599999,0.56,0.288,0
"PHF1",0,-2.64123229289088,0.086,0.357,0
"QKI",0,2.93084755108919,0.316,0.045,0
"CLEC2D",0,-2.55196120663999,0.095,0.366,0
"SMAP2",0,1.7183266189183,0.395,0.125,0
"LAPTM4A",0,1.51367944485681,0.463,0.194,0
"ZYX",0,1.23295467077098,0.653,0.384,0
"HN1",0,1.4563417431851,0.477,0.208,0
"RNF181",0,1.30575511497823,0.515,0.247,0
"BIN1",0,-2.36269462198045,0.114,0.382,0
"NUDT16",0,2.96998660360459,0.307,0.039,0
"GK",0,3.56646679022564,0.298,0.03,0
"GPBAR1",0,7.19268552440826,0.269,0.002,0
"SRA1",0,1.75137075802743,0.403,0.136,0
"AHNAK",0,0.921295600449822,0.648,0.381,0
"PSIP1",0,-2.03051433190451,0.171,0.437,0
"RXRA",0,5.11797186852785,0.274,0.008,0
"RPS4Y1",0,-1.3368176565242,0.541,0.807,0
"CTSA",0,1.22925029655936,0.466,0.201,0
"NCF4",0,2.0772023526687,0.338,0.073,0
"HIST1H4C",0,-1.52983817993311,0.339,0.604,0
"IRF8",0,1.64905668428686,0.287,0.022,0
"HIST2H2AA4",0,2.25003815950578,0.354,0.09,0
"FBXL5",0,1.52322720149781,0.43,0.167,0
"EEF1G",0,-1.70031500652945,0.669,0.932,0
"SLC43A2",0,5.0221768074779,0.272,0.009,0
"AKR1A1",0,1.40447171143075,0.446,0.184,0
"LILRB1",0,5.27159856952676,0.27,0.008,0
"PTAFR",0,7.36288515127829,0.262,0.001,0
"NCOA4",0,1.46712132184713,0.424,0.163,0
"TECR",0,-1.70808375695814,0.235,0.496,0
"LILRB4",0,3.79276930958006,0.275,0.014,0
"IL17RA",0,1.39979520526477,0.436,0.175,0
"CXCR4",0,-1.28785595037134,0.319,0.58,0
"OGFRL1",0,4.20408769690457,0.275,0.015,0
"CSF2RA",0,5.41482687365808,0.268,0.008,0
"EVI2B",0,1.22082343892421,0.589,0.329,0
"SLC16A3",0,3.68992714980474,0.287,0.027,0
"IER5",0,3.23833289765896,0.327,0.068,0
"CCDC88A",0,3.12897926568042,0.289,0.03,0
"NRROS",0,2.68532452492185,0.306,0.047,0
"HACD4",0,1.5541517108475,0.43,0.171,0
"C9orf72",0,2.74981413188867,0.306,0.047,0
"TIMM8B",0,1.7358931432628,0.388,0.129,0
"SIRPA",0,7.98350047962325,0.26,0.001,0
"THEM4",0,-3.25991283185427,0.055,0.313,0
"DOK3",0,7.72183659497809,0.26,0.002,0
"JAK2",0,2.83176739144734,0.295,0.038,0
"SHTN1",0,5.56248008057371,0.263,0.006,0
"PCED1B",0,-3.4391780960652,0.045,0.302,0
"PSMB3",0,1.23907892147069,0.647,0.39,0
"REEP5",0,1.18871104371595,0.485,0.229,0
"CIRBP",0,-1.28323112828177,0.621,0.877,0
"UBE2L6",0,1.26482702416486,0.596,0.34,0
"GNAS",0,1.04529395706199,0.572,0.316,0
"GABARAPL1",0,2.3271270379686,0.337,0.082,0
"EPSTI1",0,1.53360281850022,0.384,0.129,0
"SNX3",0,1.21331825743289,0.585,0.33,0
"NLRP3",0,6.24686756659682,0.258,0.004,0
"MPP1",0,2.92856570113977,0.292,0.038,0
"TMEM205",0,2.09851529433355,0.339,0.085,0
"NAA38",0,1.18967598998534,0.551,0.298,0
"IFI27L2",0,1.40317348361522,0.441,0.189,0
"FAM96A",0,1.2915078615474,0.465,0.214,0
"GSN",0,3.56541967252387,0.269,0.019,0
"SLC38A1",0,-2.99064448059763,0.069,0.319,0
"GBP2",0,1.20210385736407,0.473,0.223,0
"CD96",0,-3.50294013315506,0.041,0.291,0
"HEBP1",0,1.89540874118287,0.346,0.096,0
"RBX1",0,1.06136038850835,0.592,0.342,0
